RUN	perform	perform	1667062204196	 	3.0.2
USER	get the test feature file	1	START	1667062204410	1667062204410
USER	get the test feature file	2	START	1667062204954	1667062204954
USER	get the test feature file	3	START	1667062204966	1667062204966
USER	get the test feature file	4	START	1667062204972	1667062204972
USER	get the test feature file	5	START	1667062204977	1667062204977
REQUEST	3		GET /v3/027b2899-9b1e-4b25-9121-a066beaf58c3/api/shipment/search	1667062205402	1667062206063	OK	 
REQUEST	5		GET /v3/027b2899-9b1e-4b25-9121-a066beaf58c3/api/shipment/search	1667062205402	1667062206062	OK	 
REQUEST	1		GET /v3/027b2899-9b1e-4b25-9121-a066beaf58c3/api/shipment/search	1667062205402	1667062206062	OK	 
REQUEST	2		GET /v3/027b2899-9b1e-4b25-9121-a066beaf58c3/api/shipment/search	1667062205402	1667062206061	OK	 
REQUEST	4		GET /v3/027b2899-9b1e-4b25-9121-a066beaf58c3/api/shipment/search	1667062205402	1667062206065	OK	 
USER	get the test feature file	1	END	1667062204410	1667062206074
USER	get the test feature file	3	END	1667062204966	1667062206074
USER	get the test feature file	4	END	1667062204972	1667062206074
USER	get the test feature file	2	END	1667062204954	1667062206074
USER	get the test feature file	5	END	1667062204977	1667062206074
